State,AQI
Delhi,145.71411465160693
Uttar Pradesh,127.63725058100702
Jharkhand,120.04906649194697
Uttaranchal,115.13514644807758
Rajasthan,112.10565019740199
Punjab,106.95295987305266
Haryana,106.14214566683482
Uttarakhand,104.54271714219563
Bihar,102.91112942987039
West Bengal,102.43137567880463
Chhattisgarh,97.6418750420103
Maharashtra,91.802768184447
Madhya Pradesh,88.91471117240101
Jammu & Kashmir,88.41640559343884
Telangana,83.1527474218122
Chandigarh,83.14319159636328
Gujarat,82.62028979681061
Dadra & Nagar Haveli,80.41978464032731
Himachal Pradesh,79.95427937211359
Andhra Pradesh,79.70611743931646
Assam,78.7112089642828
Daman & Diu,78.2757647464355
Karnataka,77.93258060585738
Arunachal Pradesh,77.7101840982117
Odisha,74.19929003706815
Meghalaya,70.58062120633971
Tamil Nadu,70.55003173378941
Nagaland,68.48692721466963
Manipur,64.21834788598716
Mizoram,59.92403782552041
Kerala,58.67279349986125
Goa,54.917617361690446
Puducherry,54.723438929618084
Sikkim,38.4
